date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,wind_speed_10m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,rain_sum,precipitation_sum,pressure_msl_mean,cloud_cover_mean
2015-03-10 00:00:00+00:00,34.94905,29.698578,25.752222,3.6212163,64.53563,,,0.0,1008.09973,20.99213
2015-03-11 00:00:00+00:00,34.34146,29.594501,26.394482,4.923038,75.44565,,,1.3439776,1008.5016,30.841484
2015-03-12 00:00:00+00:00,34.133865,29.440428,26.236738,4.9081244,74.355675,,,2.2754016,1008.6036,50.690834
2015-03-13 00:00:00+00:00,33.12627,28.93635,26.028997,4.8932815,80.2657,,,3.934898,1007.90546,90.54019
2015-03-14 00:00:00+00:00,30.818678,28.08227,26.321259,5.2037425,84.17572,,,9.8189335,1007.20746,90.38954
2015-03-15 00:00:00+00:00,31.861082,28.078196,25.813519,7.7820888,87.085754,,,3.2987974,1006.80945,90.23889
2015-03-16 00:00:00+00:00,29.853487,27.174118,26.155773,7.4353957,89.99577,,,1.6323984,1007.5113,85.08825
2015-03-17 00:00:00+00:00,30.845892,27.320042,25.848032,5.1569114,88.90579,,,9.338559,1008.31335,80.93761
2015-03-18 00:00:00+00:00,30.788298,26.865967,25.84029,3.8560853,87.81583,,,7.115567,1009.81525,75.78696
2015-03-19 00:00:00+00:00,30.280703,27.11189,24.782549,5.126054,90.725845,,,0.8813763,1010.21716,45.63631
2015-03-20 00:00:00+00:00,32.07311,27.807814,25.174807,6.0689955,87.63588,,,0.34947953,1009.5191,51.48567
2015-03-21 00:00:00+00:00,33.565514,28.853737,25.467064,6.3693542,85.5459,,,0.0,1008.62103,78.335014
2015-03-22 00:00:00+00:00,33.85792,28.999662,25.809322,7.3029366,81.455925,,,0.0,1008.3231,82.18437
2015-03-23 00:00:00+00:00,34.100327,28.945585,25.851582,6.3314924,81.365944,,,0.1705505,1009.32495,52.033726
2015-03-24 00:00:00+00:00,33.692734,28.541512,25.94384,7.575231,83.27597,,,0.0,1011.12695,85.88308
2015-03-25 00:00:00+00:00,32.885136,28.637436,25.686098,6.6086783,81.186,,,0.0,1011.8289,72.73244
2015-03-26 00:00:00+00:00,28.97754,27.283358,26.278357,6.275352,85.09602,,,0.0,1011.23083,95.58179
2015-03-27 00:00:00+00:00,33.719948,28.829283,25.770613,7.1953297,80.00605,,,0.33155334,1008.8328,89.43114
2015-03-28 00:00:00+00:00,32.31235,28.725204,25.962872,7.48602,82.91608,,,2.7999785,1009.5346,50.28049
2015-03-29 00:00:00+00:00,33.05476,28.771128,25.805132,6.8419743,80.8261,,,1.1457269,1010.63666,70.129845
2015-03-30 00:00:00+00:00,32.647163,28.667055,25.547392,7.1319385,80.73613,,,2.6029792,1009.9386,66.9792
2015-03-31 00:00:00+00:00,32.63957,28.412977,25.689648,6.8018255,82.64615,,,1.9408202,1010.0405,50.828552
2015-04-01 00:00:00+00:00,32.731976,27.9089,25.831907,6.1653523,86.556175,,,8.68426,1010.2425,40.67791
2015-04-02 00:00:00+00:00,30.024382,25.854826,24.674164,3.9957507,95.4662,,,25.270212,1010.94446,72.52726
2015-04-03 00:00:00+00:00,27.766785,25.500748,23.916422,3.3711405,93.37623,,,19.090612,1010.74634,83.37662
2015-04-04 00:00:00+00:00,29.809187,25.79667,23.908682,3.9724514,91.28625,,,12.186719,1010.54834,94.22597
2015-04-05 00:00:00+00:00,25.601593,24.692595,24.300941,4.265564,94.19628,,,35.90507,1011.05023,100.0
2015-04-06 00:00:00+00:00,28.293997,25.38852,23.943195,2.4303763,94.1063,,,6.1118803,1010.8523,90.924675
2015-04-07 00:00:00+00:00,28.986406,25.734447,23.585455,3.029149,93.01633,,,6.70702,1010.0541,80.774025
2015-04-08 00:00:00+00:00,30.02881,26.280365,23.927715,4.2285132,87.92635,,,1.5526404,1009.9561,83.62338
2015-04-09 00:00:00+00:00,28.87122,25.876291,24.119972,3.6139483,88.83638,,,16.23029,1010.158,88.47273
2015-04-10 00:00:00+00:00,28.213625,25.022215,23.612232,3.9037943,91.7464,,,27.087551,1010.45996,98.32209
2015-04-11 00:00:00+00:00,27.45603,24.918139,24.054491,4.191953,92.656425,,,12.720583,1011.4619,92.17145
2015-04-12 00:00:00+00:00,29.148436,25.514063,23.296745,4.1798744,89.56645,,,1.373703,1011.4639,60.020798
2015-04-13 00:00:00+00:00,30.44084,26.509987,23.839005,4.465552,85.47647,,,0.3040531,1011.0658,84.87015
2015-04-14 00:00:00+00:00,30.033243,26.45591,24.481264,5.3432684,85.386505,,,0.0,1011.1678,93.7195
2015-04-15 00:00:00+00:00,29.575651,26.401833,24.523521,4.143955,83.29653,,,9.6554575,1011.0697,63.568855
2015-04-16 00:00:00+00:00,29.718056,25.947758,24.46578,4.722385,86.20656,,,19.540565,1011.37164,66.41821
2015-04-17 00:00:00+00:00,29.010466,25.943682,23.85804,2.9430501,86.11658,,,9.585509,1011.37366,65.26756
2015-04-18 00:00:00+00:00,28.50287,25.689606,24.300299,3.8150396,85.0266,,,9.850532,1010.4756,84.11692
2015-04-19 00:00:00+00:00,28.595276,25.43553,23.442554,3.8041627,84.93662,,,9.073267,1009.97754,43.966267
2015-04-20 00:00:00+00:00,28.18768,25.031456,23.334814,2.6261532,89.84665,,,28.167078,1010.87946,90.81563
2015-04-21 00:00:00+00:00,27.280083,24.977379,23.077072,3.7825494,94.756676,,,14.776698,1010.8815,88.66498
2015-04-22 00:00:00+00:00,27.772491,24.073301,22.819328,4.061951,99.6667,,,39.47617,1011.08325,86.51433
2015-04-23 00:00:00+00:00,26.964895,23.869223,22.46159,3.4718049,100.0,,,18.502317,1010.2853,84.36368
2015-04-24 00:00:00+00:00,27.407299,23.76515,22.153845,4.0389752,100.0,,,16.689638,1010.0873,89.21304
2015-04-25 00:00:00+00:00,26.899704,23.811071,21.796104,3.4521952,100.0,,,11.823443,1010.8892,77.06239
